num,mod,duration,shape,ll_cond,colors,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,raw_global_time,t_start,t_stop,pos,fonts,size,button,answer,RT,participant,session,starting_run,left button (match/odd),right button (non-match/even),samples_per_block,psychopy version,expName,offset,audio,number_runs,radius,
1,digit,0.3,['dot'],['big_1'],black,0,0,0,0,,,2.400217056274414,2.1079530715942383,2.4078590869903564,"[[-0.1299508744991893, 0.060673554358600085]]",['DejaVu Sans'],[0.9],,,,N008,digit,5,"['6', '7', '8', '9']","['1', '2', '3', '4']",1,2023.2.3,harveydigits,2.1,[],8,0.75,
0,pause,0.4,None,None,None,0,1,1,1,,,,,,,,,,,,N008,digit,5,"['6', '7', '8', '9']","['1', '2', '3', '4']",1,2023.2.3,harveydigits,2.1,[],8,0.75,
1,digit,0.3,['dot'],['big_1'],black,0,2,2,2,,,3.1002180576324463,2.807861089706421,3.1083321571350098,"[[0.06304487786728943, -0.017096025871499776]]",['DejaVu Sans'],[0.9],,,,N008,digit,5,"['6', '7', '8', '9']","['1', '2', '3', '4']",1,2023.2.3,harveydigits,2.1,[],8,0.75,
0,pause,0.4,None,None,None,0,3,3,3,,,,,,,,,,,,N008,digit,5,"['6', '7', '8', '9']","['1', '2', '3', '4']",1,2023.2.3,harveydigits,2.1,[],8,0.75,
1,digit,0.3,['dot'],['big_1'],black,0,4,4,4,,,3.8001999855041504,3.508345127105713,3.808681011199951,"[[0.15142509905815812, -0.11409592031410366]]",['DejaVu Sans'],[0.9],,,,N008,digit,5,"['6', '7', '8', '9']","['1', '2', '3', '4']",1,2023.2.3,harveydigits,2.1,[],8,0.75,
0,pause,0.4,None,None,None,0,5,5,5,,,,,,,,,,,,N008,digit,5,"['6', '7', '8', '9']","['1', '2', '3', '4']",1,2023.2.3,harveydigits,2.1,[],8,0.75,
1,digit,0.3,['dot'],['big_1'],black,0,6,6,6,,,4.500218152999878,4.208712100982666,4.508677959442139,"[[0.0520042351266872, -0.002247497354477407]]",['DejaVu Sans'],[0.9],,,,N008,digit,5,"['6', '7', '8', '9']","['1', '2', '3', '4']",1,2023.2.3,harveydigits,2.1,[],8,0.75,
0,pause,0.4,None,None,None,0,7,7,7,,,,,,,,,,,,N008,digit,5,"['6', '7', '8', '9']","['1', '2', '3', '4']",1,2023.2.3,harveydigits,2.1,[],8,0.75,
1,digit,0.3,['dot'],['big_1'],black,0,8,8,8,,,5.2002129554748535,4.908785104751587,5.208311080932617,"[[0.14658768617749787, -0.04193759861972704]]",['DejaVu Sans'],[0.9],,,,N008,digit,5,"['6', '7', '8', '9']","['1', '2', '3', '4']",1,2023.2.3,harveydigits,2.1,[],8,0.75,
0,pause,0.4,None,None,None,0,9,9,9,,,,,,,,,,,,N008,digit,5,"['6', '7', '8', '9']","['1', '2', '3', '4']",1,2023.2.3,harveydigits,2.1,[],8,0.75,
